Organisation,Org_URL,Country,Industry,Pub_Date,Leak_Type,Description,Ransom_URL,Ransom_Group,Org_Revenue,Leak_Size,Tags,Leak_Links
Realstar Holdings Partnership,https://realstar.ca,Canada,Real Estate,"Nov 27, 2022",Financial Records|Server Data|Marketing Data|Employee Data,"Realstar is a company that operates in the Real Estate industry. It employs 251-500 people and has $50M-$100M of revenue. The company is headquartered in Toronto, Ontario, Canada.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/realstar.ca/,Bianlian,$78 Millions,378 GB,canada,/dl/realstar.ca.txt
Berlina Tbk,https://berlina.co.id,Indonesia,Manufacturing,"Nov 27, 2022",Employee Data|Financial Records|Server Data|Operations|Company Projects|Others,"BPT Berlina Tbk, together with its subsidiaries, provides plastic packaging solutions in Indonesia and internationally. It offers plastic laminated tubes.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/berlina.co.id/,Bianlian,$70 Millions,223 GB,Indonesia|manufacture,/dl/berlina.co.id_berlina_data_list.txt
CIMT College,https://cimtcollege.com,Canada,Education,"Nov 25, 2022",Employee Data|Operations|Server Data|Marketing Data|Company Projects|Others,"Canadian Institute of Management and Technology, or CIMT College, is registered as a Private Career College under the Private Career Colleges Act, 2005.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/cimtcollege.com/,Bianlian,$8 Millions,196 GB,canada|education,/dl/cimtcollege.com.txt
Aria systems,https://ariasystems.biz/,United States of America,Information Technology,"Nov 25, 2022",NA,Developer of Enterprise Resource Planning (ERP) software,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/ariasystems.biz/,Bianlian,$13 Millions,100 GB,usa|it,/dl/Aria_technical_1.zip
Emilio Sanchez American School,https://es-school.com,Spain,Education,"Nov 23, 2022",NA,"Since 1999, ES International School has been offering an outstanding global education for all of international students.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/es-school.com/,Bianlian,$5 Millions,235 GB,spain|education,/dl/es-school.com.txt
AV Solutions,https://avsolutionsltd.com,Cyprus,Information Technology,"Nov 23, 2022",NA,"AV Solutions works with automation systems, including home cinema systems, mood lighting, office lighting, security systems, etc..",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/avsolutionsltd.com/,Bianlian,$5 Millions,NA,cyprus,/file_tree/avsolutionsltd.com.txt.zip
Eureka Casino Resort,https://eurekamesquite.com,United States of America,Casino,"Nov 22, 2022",Customer Data|Financial Records|Marketing Data|Server Data|Marketing Data,"Eureka operates in a wide-ranging number of businesses, including Eureka Casino Resort in Mesquite, NV.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/eurekamesquite.com/,Bianlian,$124 Millions,480 GB,usa|casino,/dl/eurekamesquite.txt
"Badger Truck Refrigeration, Inc",https://btrac.com,United States of America,Manufacturing,"Nov 15, 2022",Company Projects|Server Data|Employee Data,"Badger Truck Refrigeration, Inc. is a unique company supplying heating and air conditioning systems, as well as fire suppression and idle reduction technology, on heavy-duty and severe-duty applications for on- and off-highway equipment, including forestry, construction, industrial equipment, and heavy trucks.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/btrac.com/,Bianlian,$6 Millions,36 GB,usa|production,/file_tree/btrac.com.txt.zip
Block Buildings LLC,https://anonfiles.com/07l0t5Jfyf/10_zip,United States of America,Real Estate,"Nov 14, 2022",Finance Records|Employee Data|Server Data|Marketing Data,Data Volume: 58 GB,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/blockbuildingsllc/,Bianlian,NA,58 GB,usa,/file_tree/blockbuildingsllc_datalist.txt
Altec Engineering LLC,https://altecengineering.com,United States of America,Engineering,"Nov 14, 2022","Server Data|Financial Records|Patents, License and Copyrights|Customer Data|Employee Data","Altec is a vertically integrated provider of fiberglass products and services, and has called Elkhart, Indiana home since 1988.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/altecengineering.com/,Bianlian,$12 Millions,80 GB,usa,/file_tree/altecengineering.com.txt.zip
Samrin Services Pvt Ltd,https://samrinservices.com,India,Professional Services,"Nov 13, 2022","Sever Data|Financial Records|Patents, License and Copyrights|Customer Data|Employee Data",Samrin Services LLP offers solutions and support services to EXIM as well as International brands.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/samrinservices.com/,Bianlian,$5 Millions,40 GB,india,/file_tree/samrinservices.com.txt.zip
IM Group,https://www.imgroup.co.uk/,United Kingdom,Engineering,"Nov 5, 2022",Server Data,I.M. Group was initially founded as a supplier of parts for the British car manufacturer Jensen.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/imgroup.co.uk/,Bianlian,$427 Millions,521 GB,uk,/dl/imgroup.co.uk.txt
Hci Systems Inc,https://hcisystems.net,United States of America,Information Technology,"Nov 5, 2022","Server Data|Financial Records|Patents, License and Copyrights|Customer Data|Company Projects|Sever Data","HCI Systems is a licensed C-7, C-10 and C-16 systems integration contractor offering a full spectrum of services including sales, engineering, installation, service and maintenance. The company is headquartered in Ontario, California.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/hcisystems.net/,Bianlian,$69 Millions,800 GB,usa|it,/dl/hcisystems.net.txt
CROWN TECHNOLOGY Ltd,https://crowntech.com,United States of America,Chemical Industries,"Nov 5, 2022",Server Data|Financial Records|Marketing Data|Company Projects|Employee Data,Crown Technology Inc. is a family-owned and operated specialty chemical manufacturer with unmatched expertise serving the Steel Industry.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/crowntech.com/,Bianlian,$6 Millions,150 GB,usa|production,/file_tree/crowntech.com.txt.zip
Power Plant Services LLC,https://ppsvcs.com,United States of America,Manufacturing,"Nov 4, 2022",Server Data|Employee Data,Founded in 1998 Power Plant Services (PPS) is an ISO 9001 certified company that does emergency work as well as planned outages throughout the United States.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/ppsvcs.com/,Bianlian,$60 Millions,50 GB,usa,/file_tree/ppsvcs.com.txt.zip
Ability Commerce,https://abilitycommerce.com,United States of America,Information Technology,"Nov 4, 2022",Server Data|Financial Records|Company Projects|Employee Data,"Ability Commerce is a leading provider of direct commerce retail platforms that help growing retail businesses increase revenue, reduce overhead and engage with their customers.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/abilitycommerce.com/,Bianlian,$10 Millions,200 GB,usa|it,/file_tree/abilitycommerce.com.txt.zip
Harry Rosen,https://harryrosen.com,Canada,Retail,"Oct 19, 2022",Company Projects|Marketing Data|Financial Records|Operations|Customer Data|Communication Records|Server Data|Marketing Data|Employee Data|Others,"Canada’s premier men’s retailer, Harry Rosen is a source for men’s fashion including tailored clothing, outerwear, sportswear and footwear from the world’s finest designer labels.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/harryrosen.com/,Bianlian,$211 Millions,NA,canada,/dl/Harryrosen_data_list.txt
Golden Coin Bake Shop & Restaurant,https://goldencoinfood.com,United States of America,F&B,"Oct 19, 2022",Marketing data|Employee Data|Server Data|Financial Records|Server Data,"Golden Coin Bake Shop & Restaurant is known for being an outstanding bakery. They offer multiple other cuisines including Family Style, and Bakeries.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/goldencoinfood.com/,Bianlian,$30 Millions,476 GB,usa,/file_tree/goldencoinfood.com.txt.zip
Rentz Management,https://rentzmanagement.com/,United States of America,Finance & Insurance,"Oct 18, 2022",Server Data|Communication Records|Financial Records|Marketing Data,Rentz Management Inc.’s goal is to guide the association board of directors and protect every homeowner’s investment.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/rentzmanagement.com/,Bianlian,$7 Millions,NA,usa,/file_tree/rentzmanagement.com.txt.zip
Bonn Nutrients Pvt,https://bonn.in,India,F&B,"Oct 17, 2022",Marketing Data|Employee Data|Financial Records|Server Data|Marketing Data,"Bonn Group of Industries is food company based in Ludhiana Punjab, India. Founded in 1985, it produces a variety of food products including breads, biscuits.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/bonn.in/,Bianlian,$153 Millions,400 GB,india|food,/file_tree/bonn.in.txt.zip
VANOSS Public School,https://vanoss.k12.ok.us,United States of America,Education,"Oct 7, 2022",Financial Records|Server Data,Vanoss Public Schools is a company that operates in the Education industry. It employs 21-50 people and has $1M-$5M of revenue. The company is headquartered in Oklahoma.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/vanoss.k12.ok.us/,Bianlian,$5 Millions,80 GB,usa|education,https://anonfiles.com/dfw8YdI7yf/10_zip
Netaş,https://netas.com.tr/,Turkey,Information Technology,"Oct 6, 2022",Server data|Company Projects|Operations|Marketing Data|Communication Records|Others,"NETAS offers innovative solutions in information and communication technologies including end-to-end value-added solutions, system integration and defense technologies.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/netas.com.tr/,Bianlian,$418 Millions,NA,turkey|it|software design and development|defense technologies,/dl/netas.com.tr.txt
BRYCON Construction,https://www.brycon.com/,United States of America,Engineering,"Oct 5, 2022","Operations|Server Data|Patents, License and Copyrights|Marketing Data|Financial Records","Founded in 1990, Brycon Corporation is a construction company that specializes in the construction of warehouses and industrial buildings.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/brycon.com/,Bianlian,$158 Millions,900 GB,usa|engineering,/dl/brycon.com.txt
Boon Tool Co,https://www.bontool.com/,United States of America,Manufacturing,"Oct 4, 2022",Marketing Data|Server Data|Communication Records,"Over more than six decades, Bon has grown to be a global leader in the manufacture of professional construction tools for the trowel trades.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/bontool.com/,Bianlian,$21 Millions,NA,usa,/file_tree/bontool.com.txt.zip
Gazelle International Ltd,https://www.apcgazelle.co.uk/,United Kingdom,Transportation,"Oct 1, 2022",Server Data|Employee Data|Marketing Data|Operations,Formed in 1992 Gazelle International has expanded to offer a complete range of Transport Solutions throughout the UK and the Rest of the World.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/apcgazelle.co.uk/,Bianlian,"$606,000",NA,UK,/file_tree/apcgazelle.co.uk.txt.zip
Versah,https://www.versah.com/,United States of America,Healthcare,"Sep 26, 2022",Server Data,Versah LLC was founded in April of 2014 by Dr. Salah Huwais. Versah provide dental implant clinicians with an improved and unique way to prepare osteotomies for implant placement.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/versah.com/,Bianlian,$5 Millions,NA,usa|healthcare,/file_tree/versah.com.txt
Centura College,https://www.centuracollege.edu/,United States of America,Education,"Sep 25, 2022",Marketing Data|Financial Records|Severver Data|Operations,Centura College offers training at 5 locations in Virginia. Each campus helps students to gain new skills.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/centuracollege.edu/,Bianlian,$15 Millions,NA,usa|education,/file_tree/centuracollege.edu.txt.zip
Modular Mining Systems,https://modularmining.com,United States of America,Information Technology,"Sep 23, 2022","Server Data|Financial Records|Tax data|Patents, License and Copyrights|Customer Data|Company Projects|Marketing Data","Modular Mining Systems was founded in 1979. This company provides Management solutions and excavating services in the field of mining as well as other services. Their headquarters are located in Tucson, Arizona.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/modularmining.com/,Bianlian,$169 Millions,500 GB,usa|it,/dl/mmsi_data_list.txt
Myton School,http://www.mytonschool.co.uk/,United Kingdom,Education,"Sep 22, 2022","Server Data|Financial Records|Marketing Data|Patents, License and Copyrights","Myton School is a school located in Myton Rd, Warwick, Warwickshire, CV34 6PJ, United Kingdom.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mytonschool.co.uk/,Bianlian,$15 Millions,567 GB,uk|education,/file_tree/mytonschool.co.uk.txt
Bartelt,https://www.bartelt.at,Austria,Healthcare,"Sep 21, 2022",Server Data,"Bartelt Gesellschaft mbH is a company that operates in the Medical Devices industry. It employs 21-50 people and has $10M-$25M of revenue. The company is headquartered in Innsbruck, Tyrol, Austria.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/bartelt.at/,Bianlian,$10 Millions,NA,Austria,/file_tree/bartelt.at.txt.zip
Seanic Ocean Systems,https://www.seanicusa.com,United States of America,Engineering,"Sep 16, 2022",Financial Records|Server Data,"Seanic Ocean Systems is based in Houston, Texas and was formed to address the growing demand for simple, rugged and reliable subsea tooling for remote intervent.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/seanicusa.com/,Bianlian,$12 Millions,NA,USA,/file_tree/seanicusa.com.txt.zip
Läderach,https://laderach.com/,Switzerland,Manufacturing,"Sep 15, 2022","Marketing Data|Operations|Company Projects|Server Data|Patents, License and Copyrights|Employee Data",Läderach is a Swiss chocolate manufacturer based in Ennenda (Glarus). It was founded in 1962 in Glarus by Rudolf Läderach.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/laderach.com/,Bianlian,$150 Millions,NA,Switzerland,/file_tree/laderach.com.txt.zip
"Feldman, Holtzman & Company, LLC",https://www.fhccpa.com/,United States of America,Finance & Insurance,"Sep 15, 2022",Server Data|Communication Records,"Feldman, Holtzman & Company, LLC is an accounting firms from New Jersey.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/fhccpa.com/,Bianlian,$5 Millions,NA,USA,/file_tree/fhccpa.com.txt
Berg Kaprow Lewis,https://www.bkl.co.uk/,United Kingdom,Finance & Insurance,"Sep 15, 2022",Server Data|Marketing Data,"BKL Tax is the tax consultancy arm of Berg Kaprow Lewis, the North London firm of Chartered Accountants.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/bkl.co.uk/,Bianlian,$30 Millions,NA,UK,/file_tree/bkl.co.uk.txt.zip
Aarti Drugs Ltd,https://www.aartidrugs.co.in/,India,Healthcare,"Sep 9, 2022",Financial Recorda|Employee Data|Operations|Server Data,"Founded in 1984 and headquartered in Mumbai, India, Aarti Drugs is engaged in the manufacturing of Active Pharmaceutical Ingredients.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/aartidrugs.co.in/,Bianlian,$318 Millions,NA,India|pharmaceutical,/file_tree/aartidrugs.co.in.txt.zip.zip.zip
"Sunflower Farms Distributors, Inc",https://www.isunflower.com/,United States of America,Agriculture,"Sep 5, 2022",Server data,Sunflower Farms Distributors Inc is a company that operates in the Farming industry.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/isunflower.com/,Bianlian,$5 Millions,NA,USA,/file_tree/isunflower.com.txt.zip
Peter Duffy Ltd,https://www.peterduffyltd.com/,United Kingdom,Engineering,"Sep 4, 2022",Company Projects|Customer Data|Financial Records|Operations|Communication Records|Marketing Data,"Peter Duffy Limited is a privately owned civil engineering, utility and construction company based in Wakefield, Yorkshire. Formed in Leeds in 1972.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/peterduffyltd.com/,Bianlian,$298 Millions,NA,UK|engineering,/file_tree/peterduffyltd.com.txt.zip
Infinitely Virtual,https://www.infinitelyvirtual.com,United States of America,Information Technology,"Sep 4, 2022",Customer Data,www.infinitelyvirtual.com,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/infinitelyvirtual.com/,Bianlian,$23 Millions,NA,USA,/file_tree/infinitelyvirtual.com.txt
Baer�s Furniture Co,https://baers.com,United States of America,Retail,"Sep 2, 2022",Financial Records|Server Data|Marketing Data|Customer Data|Employee data|Operations|Others,CEO: Jerome Baer,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/baers.com/,Bianlian,$171 Millions,NA,USA,/file_tree/baers.com.txt
Mayfield School,https://www.mayfieldschool.net/,United Kingdom,Education,"Sep 1, 2022","Server Data|Employee Data|Financial Records|Student Data|Operations|Patents, License and Copyrights",Mayfield School is a company that operates in the Education industry.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mayfieldschool.net/,Bianlian,$23 Millions,NA,UK|education,/file_tree/mayfieldschool.net.txt.zip
McGann Facial Design,https://mcgannfacialdesign.com/,United States of America,Healthcare,"Aug 31, 2022",Server Data|Operations|Customer Data|Employee Data,"McGann Facial Design is a dental office that provides wisdom tooth removal, dental implants, corrective jaw surgery, and other treatments.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mcgannfacialdesign.com/,Bianlian,$5 Millions,NA,USA,/file_tree/mcgannfacialdesign.com.txt.zip
BMW of Sherman Oaks,http://www.centerbmw.com/,United States of America,Automotive,"Aug 31, 2022","Operations|Server Data|Marketing Data|Patents, License and Copyrights",A New and Used Car Dealership Serving the Van Nuys and Los Angeles Area.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/centerbmw.com/,Bianlian,$5 Millions,NA,USA,/file_tree/centerbmw.com.txt.zip
Aesthetic Dermatology Associates,https://www.adaderm.com/,United States of America,Healthcare,"Aug 27, 2022",Server Data|Operations|Financial Records|Customer Data|Images,"Since 2004, Aesthetic Dermatology Associates, PC has been working to provide dermatological care for patients in the Media and Paoli area.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/adaderm.com/,Bianlian,$9 Millions,NA,USA|healthcare,/file_tree/adaderm.com.txt.zip
Dorsey metrology,http://www.dorseymetrology.com/,United States of America,Engineering,"Aug 25, 2022",Marketing Data|Financial Records|Server data|Operations|Customer Data,"Dorsey Metrology International is known worldwide for their bore gages, snap gages, optical comparators, dial indicators, chamfer gages, countersink gages and other products",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/dorseymetrology.com/,Bianlian,$9 Millions,NA,USA|engineering,/file_tree/dorseymetrology.com.txt.zip
Captec-group,https://captec-group.com,United Kingdom,Engineering,"Aug 24, 2022",Operations|Financial Records|Marketing Data|Employee Data,"Designer and manufacturer of specialist computing equipment, established in 1985.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/captec-group.com/,Bianlian,$24 Millions,NA,UK|engineering,/file_tree/captec-group.com.txt
"Early, Lucarelli, Sweeney & Meisenkothen",https://www.elslaw.com/,United States of America,Healthcare,"Aug 19, 2022",Customer Data|Employee Data|Server Data|Financial Records,"Early, Lucarelli, Sweeney & Meisenkothen has more than 40 years of nationwide experience helping asbestos exposure victims and their families receive compensation.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/elslaw.com/,Bianlian,$12 Millions,NA,USA|healthcare,/file_tree/elslaw.com.txt.zip
Daydream Island Resort & Spa,https://www.daydreamisland.com/,Australia,Tourism,"Aug 18, 2022",Financial Records|Employee Data|Marketing Data|Operations|Server Data|Others,Daydream Island Resort is 4.5-star luxury resort by the ocean with an extensive $140 million redevelopment in 2018-2019.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/daydreamisland.com/,Bianlian,$32 Millions,NA,Australia|resort,/file_tree/daydreamisland.com.txt
4cRisk,https://www.4crisk.com.au,Australia,Healthcare,"Aug 10, 2022",Customer Data|Medical Records|Financial Records|Server Data|Operations|Others,4cRisk was established in April 2009. 4cRisk offers a dedicated multi-disciplinary approach to injury risk management.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/4crisk.com.au/,Bianlian,$13 Millions,NA,Australia|healthcare,/file_tree/4crisk.com.au.txt
Community Dental Partners,https://www.communitydentalpartners.com,United States of America,Healthcare,"Aug 8, 2022","Financial Records|Customer Data|Operations|Employee Data|Patents, License and Copyrights|Server Data|Medical Records","Founded in 2010 and headquartered in Denton, Texas, Community Dental Partners is a dental support organization (DSO) led by a mixed team of dental and business professionals.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/communitydentalpartners.com/,Bianlian,$57 Millions,NA,USA|healthcare,/file_tree/communitydentalpartners.com
Ramada Hervey Bay Hotel Resort,https://www.ramadaherveybay.com.au,Australia,Tourism,"Aug 6, 2022",Financial Records|Server Data|Employee Data|Communication Data|Customer Data,"The international Ramada Hervey Bay hotel resort offers an onsite restaurant & bar and features 91 studio rooms, 1 bedroom and 2 bedroom apartments.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/ramadaherveybay.com.au/,Bianlian,$5 Millions,NA,resort,/file_tree/ramadaherveybay.com.au.txt
International Custom Controls,https://www.intlcustomcontrols.com,United States of America,Retail,"Jul 31, 2022",Financial Records|Server Data|Company Projects|Operations|Marketing Data,International Custom Controls is in the industry of consumer Electronics & Computers Retail.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/intlcustomcontrols.com/,Bianlian,$5 Millions,NA,USA,/file_tree/intlcustomcontrols.com.txt
Advance Corporation,https://www.advancecorp.com,United States of America,Manufacturing,"Jul 29, 2022",Operations|Company Projects|Server Data|Financial Records|Communication Records,"Advance Corporation was founded in 1941 as a manufacturer of flexographic products. Now they design and manufacture various good like corporate gifts, awards, flyers, etc.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/advancecorp.com/,Bianlian,$15 Millions,NA,USA,/dl/Advance_technical.7z.001.7z
The Preston Partnership,https://www.theprestonpartnership.com,United States of America,Engineering,"Jul 28, 2022",Financial Records|Marketing Data|Server Data|Company Projects|Communication Records|Marketing Records,"The Preston Partnership, LLC is a multi-disciplinary firm which focuses on architecture and design.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/theprestonpartnership.com/,Bianlian,$5 Millions,NA,Engineering,/file_tree/theprestonpartnership.com.txt
